LA Code,households,fuel_poor,proportion
E07000170,53440,4952,9.266467065868264
E07000171,50126,4549,9.075130670709811
E07000172,49245,4249,8.628287135749822
E07000173,51869,4316,8.32096242456959
E07000174,47198,4602,9.750413153099707
E07000175,51300,4660,9.083820662768032
E07000176,48207,3714,7.7042753127139205
E07000177,60576,4748,7.838087691494981
E07000178,59126,6946,11.74779284916957
E07000179,57812,4449,7.695634124403237
E07000180,52791,3914,7.414142562179158
E07000181,46244,3381,7.311218752703054
E07000187,49996,5370,10.7408592687415
E07000188,52808,5706,10.805181033176792
E07000189,75323,7900,10.488164305723352
E07000192,42540,4605,10.825105782792665
E07000193,49432,6239,12.621378863893835
E07000194,43187,4064,9.41023919234955
E07000195,55091,6252,11.348496124593854
E07000196,46593,4268,9.160174275105701
E07000197,58286,5900,10.122499399512748
E07000198,43719,4739,10.839680688030375
E07000199,33125,3217,9.711698113207547
E07000200,39868,3965,9.945319554529949
E07000202,60600,7777,12.833333333333332
E07000203,42617,3979,9.33664969378417
E07000207,56413,4365,7.737578217786681
E07000208,31739,2438,7.681401430416837
E07000209,57684,4896,8.487622217599334
E07000210,38197,3030,7.932560148702778
E07000211,59177,4373,7.389695320817209
E07000212,34956,2743,7.847007666781096
E07000213,42200,2979,7.059241706161138
E07000214,35818,2587,7.222625495560892
E07000215,35640,2706,7.592592592592593
E07000216,52594,4182,7.951477354831351
E07000217,42105,3174,7.538297114356965
E07000218,27079,2664,9.837881753388235
E07000219,55162,5958,10.800913672455675
E07000220,43845,4500,10.263427984946972
E07000221,54443,5225,9.597193394926805
E07000222,61472,6142,9.991540864133263
E07000223,28772,2446,8.501320728486029
E07000224,71169,6127,8.60908541640321
E07000225,53105,4921,9.26654740608229
E07000226,45586,3164,6.940727416312026
E07000227,58495,4249,7.263868706727071
E07000228,61097,4594,7.519190794965383
E07000229,50058,4530,9.049502577010667
E07000234,40091,3616,9.019480681449702
E07000235,33733,3818,11.318293659028251
E07000236,36313,3384,9.318976675019966
E07000237,44018,4890,11.109091735199236
E07000238,51870,4940,9.523809523809524
E07000239,44985,5047,11.219295320662443
E07000244,110942,12627,11.38162282994718
