"","Table 2: Fuel poor households by administrative area [Notes 3 and 4], 2022","...2","...3","...4","...5","...6","...7"
"65","E08000016",NA,NA,"Barnsley","111171","19642","17.667999999999999"
"66","E08000017",NA,NA,"Doncaster","137472","24967","18.161000000000001"
"67","E08000018",NA,NA,"Rotherham","117394","19467","16.582000000000001"
"68","E08000019",NA,NA,"Sheffield","239130","40027","16.738"
"69","E11000006",NA,"West Yorkshire (Met County)",NA,"1001749","173567","17.32"
"70","E08000032",NA,NA,"Bradford","216069","42777","19.797000000000001"
"71","E08000033",NA,NA,"Calderdale","93123","16864","18.109000000000002"
"72","E08000034",NA,NA,"Kirklees","183286","33185","18.105"
"73","E08000035",NA,NA,"Leeds","351707","56181","15.973000000000001"
"74","E08000036",NA,NA,"Wakefield","157564","24560","15.587"
"75","E12000004","EAST MIDLANDS",NA,NA,"2110928","317789","15.054"
"76","E06000015",NA,"Derby",NA,"109500","18617","17.001000000000001"
"77","E06000016",NA,"Leicester",NA,"132180","26110","19.753"
"78","E06000061",NA,"North Northamptonshire",NA,"154123","21034","13.647"
"79","E06000018",NA,"Nottingham",NA,"129571","24971","19.271999999999998"
"80","E06000017",NA,"Rutland",NA,"17312","2428","14.023999999999999"
"81","E06000062",NA,"West Northamptonshire",NA,"178865","23034","12.877000000000001"
"82","E10000007",NA,"Derbyshire",NA,"366862","57245","15.6"
"83","E07000032",NA,NA,"Amber Valley","58227","9268","15.917"
"84","E07000033",NA,NA,"Bolsover","36483","6461","17.709"
"85","E07000034",NA,NA,"Chesterfield","49803","8067","16.196999999999999"
"86","E07000035",NA,NA,"Derbyshire Dales","33486","5803","17.329000000000001"
"87","E07000036",NA,NA,"Erewash","52171","7845","15.037000000000001"
"88","E07000037",NA,NA,"High Peak","42245","6717","15.9"
"89","E07000038",NA,NA,"North East Derbyshire","47622","7005","14.709"
"90","E07000039",NA,NA,"South Derbyshire","46825","6079","12.981999999999999"
"91","E10000018",NA,"Leicestershire",NA,"307053","38241","12.45"
"92","E07000129",NA,NA,"Blaby","44088","4820","10.932"
"93","E07000130",NA,NA,"Charnwood","76507","9770","12.77"
"94","E07000131",NA,NA,"Harborough","41858","4803","11.474"
"95","E07000132",NA,NA,"Hinckley and Bosworth","51185","6198","12.109"
"96","E07000133",NA,NA,"Melton","23380","3276","14.010999999999999"
"97","E07000134",NA,NA,"North West Leicestershire","46545","6554","14.08"
"98","E07000135",NA,NA,"Oadby and Wigston","23490","2820","12.005000000000001"
"99","E10000019",NA,"Lincolnshire",NA,"345324","53009","15.35"
"100","E07000136",NA,NA,"Boston","30422","4800","15.778"
"101","E07000137",NA,NA,"East Lindsey","67128","12124","18.061"
"102","E07000138",NA,NA,"Lincoln","44009","7531","17.111999999999998"
"103","E07000139",NA,NA,"North Kesteven","52739","6761","12.819000000000001"
"104","E07000140",NA,NA,"South Holland","42081","6155","14.625999999999999"
"105","E07000141",NA,NA,"South Kesteven","65089","8620","13.243"
"106","E07000142",NA,NA,"West Lindsey","43856","7018","16.001999999999999"
"107","E10000024",NA,"Nottinghamshire",NA,"370138","53100","14.34"
"108","E07000170",NA,NA,"Ashfield","56474","8809","15.598000000000001"
"109","E07000171",NA,NA,"Bassetlaw","53309","8358","15.678000000000001"
"110","E07000172",NA,NA,"Broxtowe","50147","6817","13.593999999999999"
"111","E07000173",NA,NA,"Gedling","53465","6951","13.000999999999999"
"112","E07000174",NA,NA,"Mansfield","49765","7932","15.938000000000001"
"113","E07000175",NA,NA,"Newark and Sherwood","55268","8258","14.941000000000001"
"114","E07000176",NA,NA,"Rushcliffe","51710","5975","11.554"
"115","E12000005","WEST MIDLANDS",NA,NA,"2514178","493723","19.638000000000002"
"116","E06000019",NA,"Herefordshire, County of",NA,"85769","16915","19.721"
"117","E06000051",NA,"Shropshire",NA,"144195","27262","18.905999999999999"
"118","E06000021",NA,"Stoke-on-Trent",NA,"114360","28215","24.672000000000001"
"119","E06000020",NA,"Telford and Wrekin",NA,"79193","12900","16.289000000000001"
"120","E10000028",NA,"Staffordshire",NA,"388258","66578","17.14"
"121","E07000192",NA,NA,"Cannock Chase","44927","7658","17.045000000000002"
"122","E07000193",NA,NA,"East Staffordshire","53034","10329","19.475999999999999"
"123","E07000194",NA,NA,"Lichfield","47209","6843","14.494999999999999"
"124","E07000195",NA,NA,"Newcastle-under-Lyme","55363","10772","19.457000000000001"
"125","E07000196",NA,NA,"South Staffordshire","47755","7101","14.869"
"126","E07000197",NA,NA,"Stafford","62101","10140","16.327999999999999"
"127","E07000198",NA,NA,"Staffordshire Moorlands","43820","8613","19.655000000000001"
"128","E07000199",NA,NA,"Tamworth","34049","5122","15.042999999999999"
"129","E10000031",NA,"Warwickshire",NA,"262065","42545","16.23"
"130","E07000218",NA,NA,"North Warwickshire","28559","5160","18.067"
"131","E07000219",NA,NA,"Nuneaton and Bedworth","58541","10188","17.402999999999999"
"132","E07000220",NA,NA,"Rugby","48635","7517","15.455"
"133","E07000221",NA,NA,"Stratford-on-Avon","61492","10136","16.483000000000001"
"134","E07000222",NA,NA,"Warwick","64838","9544","14.718999999999999"
