"Area.Codes","households","fuel_poor","proportion"
"E08000035",328539,62676,19.0771871832568
"E08000036",143769,23449,16.310192044182
"E08000037",91119,17028,18.6876502156521
"E09000001",4571,327,7.15379566834391
"E09000002",72994,12312,16.8671397649122
"E09000003",142113,20154,14.1816723311731
"E09000004",96960,11645,12.0101072607261
"E09000005",115252,21732,18.8560719119842
"E09000006",136976,16200,11.8268893820815
"E09000007",102018,13216,12.9545766433375
"E09000008",151789,23747,15.6447436902542
"E09000009",129803,19980,15.3925564124096
"E09000010",125333,20631,16.4609480344363
"E09000011",105890,15485,14.6236660685617
"E09000012",106171,15748,14.8326755893794
"E09000013",84326,10400,12.3330882527334
"E09000014",106464,19529,18.343289750526
"E09000015",88111,15225,17.2793408314512
"E09000016",101708,11860,11.6608329728242
"E09000017",104943,15336,14.6136474085932
"E09000018",99176,15642,15.7719609582964
"E09000019",97722,12029,12.3094083215653
"E09000020",82312,10449,12.6943823500826
"E09000021",66632,9067,13.6075759394885
"E09000022",135799,17672,13.0133506137748
"E09000023",121404,18974,15.628809594412
"E09000024",82607,11353,13.743387364267
"E09000025",106366,23748,22.3266833386608
"E09000026",103750,17116,16.4973493975904
"E09000027",83521,8424,10.0860861340262
"E09000028",125766,16164,12.8524402461715
"E09000029",81858,10294,12.5754355102739
"E09000030",105733,14225,13.4536994126715
"E09000031",101243,19941,19.6961765257845
"E09000032",136374,14385,10.5481983369264
"E09000033",110454,14988,13.5694497256777
