"","Area.Codes","households","fuel_poor","proportion"
"314","E09000033",112567,15260,13.5563708724582
"315","E10000003",270931,34683,12.8014143822597
"316","E10000006",234378,33844,14.4399218356672
"317","E10000007",356926,49145,13.7689605128234
"318","E10000008",355130,38051,10.7146678681046
"319","E10000011",250095,20445,8.17489354045463
"320","E10000012",628275,76236,12.134176912976
"321","E10000013",280771,29413,10.4757970018271
"322","E10000014",588827,37488,6.36655588143886
"323","E10000015",489567,54547,11.1418866059191
"324","E10000016",653286,55508,8.49673802897965
"325","E10000017",524303,71822,13.698567431428
"326","E10000018",287143,32255,11.2330789885179
"327","E10000019",329184,46301,14.0653859239817
"328","E10000020",401842,62030,15.4364153075089
"329","E10000021",308827,38238,12.3816894248236
"330","E10000023",273776,40103,14.6481064812109
"331","E10000024",359033,47805,13.3149320535995
"332","E10000025",279947,20746,7.41068845174265
"333","E10000027",250523,27020,10.7854368660762
"334","E10000028",379914,57618,15.1660638986718
"335","E10000029",335749,48684,14.5001176474092
"336","E10000030",492524,30002,6.09147980606021
"337","E10000031",247212,35825,14.4916104396227
"338","E10000032",372658,26185,7.02654981242855
"339","E10000034",256386,36915,14.3982120708619
"340","E11000001",1190542,181588,15.2525488391002
"341","E11000002",635792,98627,15.5124631955105
"342","E11000003",602413,106393,17.6611394508419
"343","E11000005",1162388,226416,19.4785218016704
"344","E11000006",982138,169097,17.2172342379584
"345","E11000007",511239,76575,14.9783173818899
"346","E12000001",1191912,176869,14.8390988596474
"347","E12000002",3177487,461364,14.5197761627349
"348","E12000003",2368747,396771,16.7502481269633
"349","E12000004",2034809,282909,13.9034671067407
"350","E12000005",2454896,429730,17.505018542537
"351","E12000006",2616126,344779,13.1789906143664
"352","E12000007",3483960,530740,15.2338143951136
"353","E12000008",3838572,288025,7.50344138393132
"354","E12000009",2495242,264792,10.6118765233993
"355","E13000001",1453399,225481,15.5140467277052
"356","E13000002",2030561,305259,15.0332346578113
"357","E92000001",23661751,3175979,13.4224174702878
"358","Estimates should only be used to look at general trends and identify areas of particularly high or low fuel poverty. See Sub-regional fuel poverty report, 2021:",NA,NA,NA
